key,beef_id,beef_name,beef_type,drake_involved,track_category,artist_side,artist_name,release_date,video_id,song_name,notes
b1_catalog_kendrick,b1,Kendrick vs Drake,rap_battle,True,catalog,kendrick,Kendrick Lamar,2017-03-30,tvTRZJ-4EyI,HUMBLE.,KendrickLamarVEVO公式
b1_catalog_drake,b1,Kendrick vs Drake,rap_battle,True,catalog,drake,Drake,2018-02-17,xpVfcZ0ZcFM,God's Plan,DrakeVEVO公式
b1_beef_kendrick,b1,Kendrick vs Drake,rap_battle,True,beef,kendrick,Kendrick Lamar,2024-07-04,H58vbez_m4E,Not Like Us,KendrickLamarVEVO公式
b1_beef_drake,b1,Kendrick vs Drake,rap_battle,True,beef,drake,Drake,2024-04-19,HKH9p19PRLA,Push Ups,Drake - Topic(自動生成公式チャンネル)
b1_post_kendrick,b1,Kendrick vs Drake,rap_battle,True,post,kendrick,Kendrick Lamar,2024-11-22,U8F5G5wR1mk,tv off,Kendrick Lamar公式チャンネル(GNX収録曲)
b1_post_drake,b1,Kendrick vs Drake,rap_battle,True,post,drake,Drake,2025-03-31,8ekJMC8OtGU,NOKIA,DrakeVEVO公式
b2_catalog_pusha,b2,Pusha T vs Drake,rap_battle,True,catalog,pusha,Pusha T,2013-05-09,DawrlSwHUiM,Numbers on the Boards,設計書はNosetalgia(djramski名義=非公式リアップロード)を指定していたが公式アップロードが無いため、既に公式確認済みのNumbers on the Boardsに差し替え。PushaTVEVO公式
b2_catalog_drake,b2,Pusha T vs Drake,rap_battle,True,catalog,drake,Drake,2018-02-17,xpVfcZ0ZcFM,God's Plan,B1と同一動画を共用。DrakeVEVO公式
b2_beef_pusha,b2,Pusha T vs Drake,rap_battle,True,beef,pusha,Pusha T,2023-11-16,bx1mzA873CM,The Story of Adidon,Pusha - Topic(自動生成公式チャンネル)。commentThreads.list実行時に403 commentsDisabledを確認済み。コメント欄無効のため収集不可。B2のbeef/pusha側はデータ欠損として扱う
b2_beef_drake,b2,Pusha T vs Drake,rap_battle,True,beef,drake,Drake,2018-05-25,Qr_QLv1TPcY,Duppy Freestyle,OVO Sound公式
b2_post_pusha,b2,Pusha T vs Drake,rap_battle,True,post,pusha,Pusha T,2022-02-08,HFrwm6oRYJg,Diet Coke,PushaTVEVO公式
b2_post_drake,b2,Pusha T vs Drake,rap_battle,True,post,drake,Drake,2020-04-03,xWggTb45brM,Toosie Slide,DrakeVEVO公式
b3_catalog_drake,b3,Drake vs Meek Mill,authenticity_dispute,True,catalog,drake,Drake,2018-09-15,,0 To 100 / The Catch Up,【B3除外】commentThreads.list実行時に403 commentsDisabledを確認。動画ID(s0PZYWA4LoM)は記録のみ残しvideo_idは空欄化して収集対象から除外
b3_catalog_meek,b3,Drake vs Meek Mill,authenticity_dispute,True,catalog,meek,Meek Mill,2015-07-28,,All Eyes On You,【B3除外】beefカテゴリが全滅(下記)のためB3全体を分析から除外。動画ID(ut9ThAbfde0)自体はコメント取得済みだが使用しない
b3_beef_drake,b3,Drake vs Meek Mill,authenticity_dispute,True,beef,drake,Drake,2018-07-24,,Back To Back,【B3除外】commentThreads.list実行時に403 commentsDisabledを確認(動画ID: 72ykBvPOIc0)。YouTube API検索でも公式チャンネルの代替アップロードなし(ファンチャンネルの再アップロードのみ)。B3のbeefカテゴリは両アーティストとも欠損
b3_beef_meek,b3,Drake vs Meek Mill,authenticity_dispute,True,beef,meek,Meek Mill,2018-08-10,,Wanna Know,【B3除外】commentThreads.list実行時に403 commentsDisabledを確認(動画ID: erq6Q5t0dW4)。代替公式アップロードなし。B3のbeefカテゴリは両アーティストとも欠損のためB3全体をユーザー判断で分析から除外(5ビーフ構成に変更)
b3_post_drake,b3,Drake vs Meek Mill,authenticity_dispute,True,post,drake,Drake,2016-05-15,,One Dance (Live On SNL),【B3除外】beefカテゴリが全滅のためB3全体を分析から除外。動画ID(vcer12OFU2g)自体はコメント取得済みだが使用しない
b3_post_meek,b3,Drake vs Meek Mill,authenticity_dispute,True,post,meek,Meek Mill,2017-05-06,,Litty,【B3除外】beefカテゴリが全滅のためB3全体を分析から除外。動画ID(S7UAj9bl1-I)自体はコメント取得済みだが使用しない
b4_catalog_eminem,b4,Eminem vs MGK,rap_battle,False,catalog,eminem,Eminem,2013-11-27,XbGs_qK2PQA,Rap God,EminemVEVO公式
b4_catalog_mgk,b4,Eminem vs MGK,rap_battle,False,catalog,mgk,MGK,2016-12-01,QpbQ4I3Eidg,Bad Things (ft. Camila Cabello),MGKVEVO公式
b4_beef_eminem,b4,Eminem vs MGK,rap_battle,False,beef,eminem,Eminem,2018-09-14,FxQTY-W6GIo,Killshot,EminemMusic公式
b4_beef_mgk,b4,Eminem vs MGK,rap_battle,False,beef,mgk,MGK,2018-09-03,4sNCyiyIc_8,Rap Devil,mgk公式チャンネル
b4_post_eminem,b4,Eminem vs MGK,rap_battle,False,post,eminem,Eminem,2020-01-17,RHQC4fAhcbU,Darkness,EminemVEVO公式
b4_post_mgk,b4,Eminem vs MGK,rap_battle,False,post,mgk,MGK,2020-05-20,wSdT-SArM2Q,Bloody Valentine,MGKVEVO公式。ポップパンク転向後のリリースのためジャンル差が語彙に影響する可能性を考察に含めること
b5_catalog_wayne,b5,Wayne vs Birdman,contract_breakdown,False,catalog,wayne,Lil Wayne,2022-02-18,1Vf4mMCpNY0,A Milli,LilWayneVEVO公式(2008年曲の後日アップロード)
b5_catalog_birdman,b5,Wayne vs Birdman,contract_breakdown,False,catalog,birdman,Birdman,2010-11-23,DALvNCbgcKg,Fire Flame,BirdmanVEVO公式
b5_beef_wayne,b5,Wayne vs Birdman,contract_breakdown,False,beef,wayne,Lil Wayne,2015-03-18,_y_Xpps46Uc,CoCo,設計書はe_fZbUpGplA(実際は「Sorry 4 The Wait」無印/2011年)を指定していたが誤り。ビーフの発端であるSorry 4 the Wait 2(2015)収録曲で、Cash Money/Birdman言及が最多と確認済みのCoCoに差し替え。Lil Wayne公式チャンネル
b5_beef_birdman,b5,Wayne vs Birdman,contract_breakdown,False,beef,birdman,Birdman,,,,Birdman側の明確なdiss曲が見つからず(YouTube API検索でも該当なし)。設計書の想定通り「片側型ビーフ」として扱い、beef/birdmanのデータは欠損のまま分析する
b5_post_wayne,b5,Wayne vs Birdman,contract_breakdown,False,post,wayne,Lil Wayne,2024-09-30,tF0X2c8HPN8,Uproar,LilWayneVEVO公式(2018年曲の後日アップロード)
b5_post_birdman,b5,Wayne vs Birdman,contract_breakdown,False,post,birdman,Birdman,,,,beef/birdmanが存在しないため対応するpostも定義しない(片側型ビーフのため)
b6_catalog_megan,b6,Megan vs Nicki,rap_battle,False,catalog,megan,Megan Thee Stallion,2020-04-06,EOxj2ROIxok,Savage,"Megan Thee Stallion公式チャンネル。公式にはリミックス版(ft. Beyonce, lEIqjoO0-Bs)も存在するが本分析ではLyric Video版のみ使用"
b6_catalog_nicki,b6,Megan vs Nicki,rap_battle,False,catalog,nicki,Nicki Minaj,2022-09-01,j5uAR9w7LBg,Super Freaky Girl,NickiMinajAtVEVO公式
b6_beef_megan,b6,Megan vs Nicki,rap_battle,False,beef,megan,Megan Thee Stallion,2024-01-26,XVgCLQ_JQfU,HISS,設計書はこのIDを『ビーフ曲(Nicki)Big Foot』として記載していたが誤り。実際はMegan Thee Stallion公式チャンネルのHISSの動画。正しい区分(Megan側のビーフ曲)に修正
b6_beef_nicki,b6,Megan vs Nicki,rap_battle,False,beef,nicki,Nicki Minaj,2024-01-29,vKkoBUPav3s,Big Foot,設計書のXVgCLQ_JQfUは誤りだったため、YouTube API検索で正しいBig Foot動画IDを新たに特定。Nicki Minaj公式チャンネル
b6_post_megan,b6,Megan vs Nicki,rap_battle,False,post,megan,Megan Thee Stallion,2024-05-10,TKQY2ZlIEjY,BOA,Megan Thee Stallion公式チャンネル(HISS後のリリース)
b6_post_nicki,b6,Megan vs Nicki,rap_battle,False,post,nicki,Nicki Minaj,2024-04-19,rV7zBXq5JsY,FTCU (SLEEZEMIX),設計書はPink Friday 2収録曲を提案していたが、ビーフ(2024-01-29)より前のリリース(2023-12)のため不適切。Big Foot後の公式リリースに差し替え。Nicki Minaj公式チャンネル
b1_post_kendrick_02,b1,Kendrick vs Drake,rap_battle,True,post,kendrick,Kendrick Lamar,2024-11-22,HfWLgELllZs,luther,viewcount_analysis用に追加(コメント収集はしない、videos.listのみ)
b1_post_kendrick_03,b1,Kendrick vs Drake,rap_battle,True,post,kendrick,Kendrick Lamar,2024-11-25,fuV4yQWdn_4,squabble up,viewcount_analysis用に追加(コメント収集はしない、videos.listのみ)
b1_post_kendrick_04,b1,Kendrick vs Drake,rap_battle,True,post,kendrick,Kendrick Lamar,2024-11-22,cbHkzwa0QmM,peekaboo,viewcount_analysis用に追加(コメント収集はしない、videos.listのみ)
b1_post_kendrick_05,b1,Kendrick vs Drake,rap_battle,True,post,kendrick,Kendrick Lamar,2024-11-22,YwUQ_5iV9pY,wacced out murals,viewcount_analysis用に追加(コメント収集はしない、videos.listのみ)
b1_post_drake_02,b1,Kendrick vs Drake,rap_battle,True,post,drake,Drake,2026-05-15,SD4yRDY9mek,Janice STFU,viewcount_analysis用に追加(コメント収集はしない、videos.listのみ)
b1_post_drake_03,b1,Kendrick vs Drake,rap_battle,True,post,drake,Drake,2026-05-16,MoR47PedfaU,shabang,viewcount_analysis用に追加(コメント収集はしない、videos.listのみ)
b1_post_drake_04,b1,Kendrick vs Drake,rap_battle,True,post,drake,Drake,2026-05-16,ESRCdJHbvnU,2 Hard 4 The Radio,viewcount_analysis用に追加(コメント収集はしない、videos.listのみ)
b1_post_drake_05,b1,Kendrick vs Drake,rap_battle,True,post,drake,Drake,2026-05-16,Z8wKeg_nRVI,B's On The Table,viewcount_analysis用に追加(コメント収集はしない、videos.listのみ)
b2_post_pusha_02,b2,Pusha T vs Drake,rap_battle,True,post,pusha,Pusha T,2019-10-11,sF5IU-Pyn2A,Puppets (Succession Remix),viewcount_analysis用に追加(コメント収集はしない、videos.listのみ)
