video_id,key,song_name,artist_name,beef_id,track_category,release_date,collected_at,view_count,comment_count,like_count,channel_title,video_title
tvTRZJ-4EyI,b1_catalog_kendrick,HUMBLE.,Kendrick Lamar,b1,catalog,2017-03-30,2026-07-15T01:51:00.514146+00:00,1113288223,256895,9171837,KendrickLamarVEVO,Kendrick Lamar - HUMBLE.
xpVfcZ0ZcFM,b1_catalog_drake,God's Plan,Drake,b1,catalog,2018-02-17,2026-07-15T01:51:00.514146+00:00,1709001296,632635,16901419,DrakeVEVO,Drake - God's Plan
H58vbez_m4E,b1_beef_kendrick,Not Like Us,Kendrick Lamar,b1,beef,2024-07-04,2026-07-15T01:51:00.514146+00:00,485528376,382549,7597194,KendrickLamarVEVO,Kendrick Lamar - Not Like Us
HKH9p19PRLA,b1_beef_drake,Push Ups,Drake,b1,beef,2024-04-19,2026-07-15T01:51:00.514146+00:00,36126665,35004,415824,Drake - Topic,Push Ups
U8F5G5wR1mk,b1_post_kendrick,tv off,Kendrick Lamar,b1,post,2024-11-22,2026-07-15T01:51:00.514146+00:00,154506766,68004,1442062,Kendrick Lamar,Kendrick Lamar - tv off (Official Audio)
8ekJMC8OtGU,b1_post_drake,NOKIA,Drake,b1,post,2025-03-31,2026-07-15T01:51:00.514146+00:00,57481629,64172,780478,DrakeVEVO,Drake - NOKIA (Official Music Video)
DawrlSwHUiM,b2_catalog_pusha,Numbers on the Boards,Pusha T,b2,catalog,2013-05-09,2026-07-15T01:51:00.514146+00:00,12727978,8944,112918,PushaTVEVO,Pusha T - Numbers On The Boards (Explicit)
xpVfcZ0ZcFM,b2_catalog_drake,God's Plan,Drake,b2,catalog,2018-02-17,2026-07-15T01:51:00.514146+00:00,1709001296,632635,16901419,DrakeVEVO,Drake - God's Plan
bx1mzA873CM,b2_beef_pusha,The Story of Adidon,Pusha T,b2,beef,2023-11-16,2026-07-15T01:51:00.514146+00:00,667996,0,8732,Pusha - Topic,The Story Of Adidon
Qr_QLv1TPcY,b2_beef_drake,Duppy Freestyle,Drake,b2,beef,2018-05-25,2026-07-15T01:51:00.514146+00:00,20016650,28384,209096,OVO Sound,Drake - Duppy Freestyle (Official Audio)
HFrwm6oRYJg,b2_post_pusha,Diet Coke,Pusha T,b2,post,2022-02-08,2026-07-15T01:51:00.514146+00:00,24667447,18565,391634,PushaTVEVO,Pusha T - Diet Coke
xWggTb45brM,b2_post_drake,Toosie Slide,Drake,b2,post,2020-04-03,2026-07-15T01:51:00.514146+00:00,411236137,133817,4497563,DrakeVEVO,Drake - Toosie Slide (Official Music Video)
XbGs_qK2PQA,b4_catalog_eminem,Rap God,Eminem,b4,catalog,2013-11-27,2026-07-15T01:51:00.514146+00:00,1566403012,1302952,20649111,EminemVEVO,Eminem - Rap God (Explicit)
QpbQ4I3Eidg,b4_catalog_mgk,Bad Things (ft. Camila Cabello),MGK,b4,catalog,2016-12-01,2026-07-15T01:51:00.514146+00:00,543305170,114667,3983527,MGKVEVO,"Machine Gun Kelly, Camila Cabello - Bad Things (Official Music Video)"
FxQTY-W6GIo,b4_beef_eminem,Killshot,Eminem,b4,beef,2018-09-14,2026-07-15T01:51:00.514146+00:00,512886848,210040,6893046,EminemMusic,KILLSHOT [Official Audio]
4sNCyiyIc_8,b4_beef_mgk,Rap Devil,MGK,b4,beef,2018-09-03,2026-07-15T01:51:00.514146+00:00,16884702,86602,272960,mgk,Machine Gun Kelly - Rap Devil
RHQC4fAhcbU,b4_post_eminem,Darkness,Eminem,b4,post,2020-01-17,2026-07-15T01:51:00.514146+00:00,66169255,120700,1941351,EminemVEVO,Eminem - Darkness (Official Video)
wSdT-SArM2Q,b4_post_mgk,Bloody Valentine,MGK,b4,post,2020-05-20,2026-07-15T01:51:00.514146+00:00,149308609,72236,1369184,MGKVEVO,Machine Gun Kelly - Bloody Valentine [Official Video]
1Vf4mMCpNY0,b5_catalog_wayne,A Milli,Lil Wayne,b5,catalog,2022-02-18,2026-07-15T01:51:00.514146+00:00,92909911,15986,827853,LilWayneVEVO,Lil Wayne - A Milli
DALvNCbgcKg,b5_catalog_birdman,Fire Flame,Birdman,b5,catalog,2010-11-23,2026-07-15T01:51:00.514146+00:00,25920957,10975,113368,BirdmanVEVO,Birdman - Fire Flame (Official Music Video)
_y_Xpps46Uc,b5_beef_wayne,CoCo,Lil Wayne,b5,beef,2015-03-18,2026-07-15T01:51:00.514146+00:00,34214749,10315,271297,Lil Wayne,Lil Wayne - CoCo Freestyle #SFTW2
tF0X2c8HPN8,b5_post_wayne,Uproar,Lil Wayne,b5,post,2024-09-30,2026-07-15T01:51:00.514146+00:00,2837136,1703,49253,LilWayneVEVO,Lil Wayne - Uproar ft. Swizz Beatz
EOxj2ROIxok,b6_catalog_megan,Savage,Megan Thee Stallion,b6,catalog,2020-04-06,2026-07-15T01:51:00.514146+00:00,120314350,16109,1059271,Megan Thee Stallion,Megan Thee Stallion - Savage [Lyric Video]
j5uAR9w7LBg,b6_catalog_nicki,Super Freaky Girl,Nicki Minaj,b6,catalog,2022-09-01,2026-07-15T01:51:00.514146+00:00,60501893,72476,1304691,NickiMinajAtVEVO,Nicki Minaj - Super Freaky Girl (Official Music Video)
XVgCLQ_JQfU,b6_beef_megan,HISS,Megan Thee Stallion,b6,beef,2024-01-26,2026-07-15T01:51:00.514146+00:00,52610925,67866,1049168,Megan Thee Stallion,Megan Thee Stallion - HISS [Official Video]
vKkoBUPav3s,b6_beef_nicki,Big Foot,Nicki Minaj,b6,beef,2024-01-29,2026-07-15T01:51:00.514146+00:00,9997412,87811,219065,Nicki Minaj,Nicki Minaj - Big Foot (Official Audio)
TKQY2ZlIEjY,b6_post_megan,BOA,Megan Thee Stallion,b6,post,2024-05-10,2026-07-15T01:51:00.514146+00:00,21085844,21105,520662,Megan Thee Stallion,Megan Thee Stallion - BOA [Official Video]
rV7zBXq5JsY,b6_post_nicki,FTCU (SLEEZEMIX),Nicki Minaj,b6,post,2024-04-19,2026-07-15T01:51:00.514146+00:00,4272801,9503,117597,Nicki Minaj,"Nicki Minaj - FTCU (SLEEZEMIX) ft. Travis Scott, Chris Brown & Sexyy Red"
HfWLgELllZs,b1_post_kendrick_02,luther,Kendrick Lamar,b1,post,2024-11-22,2026-07-15T01:51:00.514146+00:00,176565068,23306,1158507,Kendrick Lamar,Kendrick Lamar - luther (Official Audio)
fuV4yQWdn_4,b1_post_kendrick_03,squabble up,Kendrick Lamar,b1,post,2024-11-25,2026-07-15T01:51:00.514146+00:00,76231780,61877,1373167,Kendrick Lamar,squabble up
cbHkzwa0QmM,b1_post_kendrick_04,peekaboo,Kendrick Lamar,b1,post,2024-11-22,2026-07-15T01:51:00.514146+00:00,56885633,20671,565498,Kendrick Lamar,Kendrick Lamar - peekaboo (Official Audio)
YwUQ_5iV9pY,b1_post_kendrick_05,wacced out murals,Kendrick Lamar,b1,post,2024-11-22,2026-07-15T01:51:00.514146+00:00,34030579,27890,441045,Kendrick Lamar,Kendrick Lamar - wacced out murals (Official Audio)
