sample_id,stance
1,neutral
2,neutral
3,neutral
4,neutral
5,neutral
6,a
7,neutral
8,neutral
9,neutral
10,a
11,neutral
12,a
13,neutral
14,a
15,a
16,neutral
17,a
18,neutral
19,neutral
20,neutral
21,a
22,neutral
23,neutral
24,neutral
25,a
26,neutral
27,a
28,neutral
29,neutral
30,neutral
31,a
32,neutral
33,neutral
34,neutral
35,neutral
36,a
37,a
38,neutral
39,neutral
40,a
41,neutral
42,neutral
43,a
44,neutral
45,b
46,b
47,neutral
48,neutral
49,neutral
50,neutral
51,a
52,neutral
53,a
54,a
55,neutral
56,neutral
57,neutral
58,neutral
59,neutral
60,neutral
61,a
62,b
63,b
64,a
65,b
66,neutral
67,neutral
68,neutral
69,neutral
70,a
71,a
72,neutral
73,a
74,neutral
75,neutral
76,neutral
77,neutral
78,a
79,a
80,neutral
81,neutral
82,neutral
83,neutral
84,neutral
85,neutral
86,neutral
87,neutral
88,neutral
89,b
90,neutral
91,neutral
92,neutral
93,neutral
94,neutral
95,neutral
96,neutral
97,neutral
98,neutral
99,neutral
100,a
101,b
102,a
103,a
104,neutral
105,a
106,neutral
107,neutral
108,a
109,a
110,neutral
111,a
112,neutral
113,a
114,neutral
115,neutral
116,b
117,neutral
118,neutral
119,neutral
120,neutral
121,b
122,a
123,b
124,neutral
125,a
126,a
127,neutral
128,neutral
129,neutral
130,neutral
131,neutral
132,neutral
133,neutral
134,neutral
135,neutral
136,neutral
137,a
138,neutral
139,neutral
140,neutral
141,neutral
142,neutral
143,neutral
144,neutral
145,a
146,a
147,neutral
148,a
149,neutral
150,a
151,a
152,neutral
153,neutral
154,neutral
155,neutral
156,a
157,neutral
158,neutral
159,neutral
160,a
161,a
162,a
163,neutral
164,neutral
165,neutral
166,a
167,neutral
168,neutral
169,neutral
170,b
171,a
172,neutral
173,neutral
174,neutral
175,a
176,neutral
177,b
178,neutral
179,a
180,neutral
181,neutral
182,neutral
183,neutral
184,a
185,a
186,neutral
187,neutral
188,neutral
189,neutral
190,neutral
191,a
192,neutral
193,neutral
194,neutral
195,neutral
