group,rank,word,tfidf_score
b1,1,like,0.05453825662552702
b1,2,drake,0.05209372832494832
b1,3,song,0.04855979700775718
b1,4,2026,0.03498380513188717
b1,5,kendrick,0.031104574815127503
b1,6,years,0.024998451208212633
b1,7,just,0.022929074321800712
b1,8,happy,0.02063009034865803
b1,9,got,0.02021889680840901
b1,10,know,0.01803786207402867
b1,11,people,0.017498506373132914
b1,12,love,0.01683386973582213
b1,13,bro,0.01666102026740441
b1,14,year,0.015949618903460288
b1,15,time,0.015881464292820818
b1,16,man,0.01541486498061399
b1,17,lol,0.015051587866616346
b1,18,best,0.013425645784297176
b1,19,music,0.012258504884914085
b1,20,anniversary,0.012204509985910663
b2,1,drake,0.07277782343037621
b2,2,pusha,0.04343492422937468
b2,3,diss,0.029948686847758345
b2,4,kendrick,0.026142531391034996
b2,5,shit,0.025397447356293793
b2,6,just,0.024366389453577945
b2,7,song,0.023990485807582937
b2,8,like,0.023488000314979905
b2,9,push,0.021799222190988555
b2,10,track,0.021439474640139813
b2,11,better,0.020602388627065368
b2,12,beat,0.01802964104240546
b2,13,got,0.017519583423818465
b2,14,really,0.017342806731172927
b2,15,beef,0.017015533567972987
b2,16,man,0.016710542230106543
b2,17,lol,0.015891245037784427
b2,18,won,0.01541486268606141
b2,19,best,0.01538754900364921
b2,20,did,0.014927013690803249
b4,1,eminem,0.04422379743737326
b4,2,mgk,0.04416119471804449
b4,3,song,0.027305948230631864
b4,4,like,0.024082607533959993
b4,5,em,0.024013107287651055
b4,6,diss,0.022799746709734135
b4,7,rap,0.021905479004650626
b4,8,just,0.01972814694778487
b4,9,better,0.019025846942232173
b4,10,2026,0.01887261866459814
b4,11,got,0.017641077517062207
b4,12,killshot,0.016639542081722306
b4,13,good,0.016352287396237404
b4,14,shit,0.014371674435295077
b4,15,bro,0.014027166850980228
b4,16,years,0.013596100933357846
b4,17,career,0.012508752002413035
b4,18,gun,0.01217314634946966
b4,19,did,0.012159359651842552
b4,20,best,0.012090154124108791
b5,1,wayne,0.06310036284725132
b5,2,2025,0.04326187420764592
b5,3,song,0.03843814346988456
b5,4,lil,0.02977115281721419
b5,5,2021,0.029075884406329956
b5,6,like,0.02485450141576995
b5,7,love,0.02383711603170113
b5,8,lil wayne,0.022965292629659628
b5,9,got,0.022374006266233263
b5,10,listening,0.021847782559071154
b5,11,sorry,0.019049183518902002
b5,12,day,0.01889729141065575
b5,13,best,0.018870620456402358
b5,14,time,0.018755224495145554
b5,15,just,0.018146443261108536
b5,16,2022,0.017896127392786003
b5,17,birdman,0.017242140459594223
b5,18,music,0.01668095208453262
b5,19,goat,0.016543238395091156
b5,20,man,0.016404446833286103
b6,1,nicki,0.04460061811319373
b6,2,song,0.04309514055420592
b6,3,megan,0.03566898454248326
b6,4,love,0.02454505361195896
b6,5,like,0.021002753299458114
b6,6,just,0.017995352733414908
b6,7,good,0.016834987414190962
b6,8,queen,0.015589267265696767
b6,9,2025,0.014757937567412114
b6,10,right,0.014614378931525677
b6,11,year,0.013891032767782096
b6,12,meg,0.01385554180433529
b6,13,foot,0.013673898673561839
b6,14,time,0.012980855734996374
b6,15,did,0.012548670555960673
b6,16,aged,0.012321047351611577
b6,17,come,0.012190295655177125
b6,18,really,0.011958126791842095
b6,19,know,0.011735298240126518
b6,20,diss,0.011520328526688908
