group,rank,word,tfidf_score
beef,1,song,0.02617564690547778
beef,2,drake,0.02091041187867083
beef,3,like,0.020546862789714047
beef,4,mgk,0.01537237498321741
beef,5,eminem,0.015241388083818606
beef,6,just,0.015118779092592854
beef,7,diss,0.014961593653004748
beef,8,nicki,0.013871083868286059
beef,9,love,0.013479418734683111
beef,10,2026,0.013152659567142311
beef,11,got,0.01211718582361649
beef,12,better,0.011498890689119426
beef,13,shit,0.011446356913937111
beef,14,good,0.010950160000625729
beef,15,2025,0.010929092036041662
beef,16,rap,0.01050508069418111
beef,17,time,0.010429757460306577
beef,18,megan,0.010339193624397973
beef,19,years,0.0101560349212876
beef,20,know,0.009829792072373405
catalog,1,2026,0.038505010086080635
catalog,2,song,0.03487815238683459
catalog,3,love,0.01875537397577796
catalog,4,like,0.017211957831933116
catalog,5,drake,0.012818379020782492
catalog,6,2025,0.01269721951520219
catalog,7,beat,0.01227616429738628
catalog,8,just,0.012114738711791063
catalog,9,god,0.01171744245774451
catalog,10,time,0.009865947293845538
catalog,11,video,0.0098185197220587
catalog,12,best,0.009477597940199372
catalog,13,rap,0.009446002425125465
catalog,14,years,0.009307585225746871
catalog,15,music,0.009172046180801596
catalog,16,june,0.00910420328907699
catalog,17,good,0.008900244473796042
catalog,18,listening,0.008605228087122586
catalog,19,man,0.008325646163091742
catalog,20,people,0.007891633402682745
post,1,song,0.03184796525636034
post,2,like,0.019931084065750768
post,3,love,0.01980192515405103
post,4,2026,0.014963230763644964
post,5,video,0.01436593437282234
post,6,drake,0.013613939165553255
post,7,just,0.013396111751921987
post,8,music,0.012811553382013468
post,9,time,0.011343271783555806
post,10,2025,0.011047448754211727
post,11,best,0.010893887274912813
post,12,good,0.009557737620508907
post,13,megan,0.009214715562602022
post,14,don,0.00864294361618835
post,15,got,0.008396790233819722
post,16,man,0.008264231877990736
post,17,know,0.008094057007823953
post,18,bro,0.0077039467003933255
post,19,did,0.007658111357198889
post,20,shit,0.007498364988003938
