video_id,key,song_name,artist_name,beef_id,track_category,release_date,collected_at,view_count,comment_count,like_count,channel_title,video_title,artist_side,release_date_dt,collected_at_dt,days_since_release,view_efficiency,like_efficiency,win_loss_side,verdict,outcome_type
H58vbez_m4E,b1_beef_kendrick,Not Like Us,Kendrick Lamar,b1,beef,2024-07-04,2026-07-15T01:51:00.514146+00:00,485528376,382549,7597194,KendrickLamarVEVO,Kendrick Lamar - Not Like Us,kendrick,2024-07-04,2026-07-15,741,655233.975708502,10252.623481781377,winner,clear,rap_battle
HKH9p19PRLA,b1_beef_drake,Push Ups,Drake,b1,beef,2024-04-19,2026-07-15T01:51:00.514146+00:00,36126665,35004,415824,Drake - Topic,Push Ups,drake,2024-04-19,2026-07-15,817,44218.68421052631,508.9645042839657,loser,clear,rap_battle
U8F5G5wR1mk,b1_post_kendrick,tv off,Kendrick Lamar,b1,post,2024-11-22,2026-07-15T01:51:00.514146+00:00,154506766,68004,1442062,Kendrick Lamar,Kendrick Lamar - tv off (Official Audio),kendrick,2024-11-22,2026-07-15,600,257511.27666666667,2403.4366666666665,winner,clear,rap_battle
8ekJMC8OtGU,b1_post_drake,NOKIA,Drake,b1,post,2025-03-31,2026-07-15T01:51:00.514146+00:00,57481629,64172,780478,DrakeVEVO,Drake - NOKIA (Official Music Video),drake,2025-03-31,2026-07-15,471,122041.67515923567,1657.0658174097664,loser,clear,rap_battle
bx1mzA873CM,b2_beef_pusha,The Story of Adidon,Pusha T,b2,beef,2023-11-16,2026-07-15T01:51:00.514146+00:00,667996,0,8732,Pusha - Topic,The Story Of Adidon,pusha,2023-11-16,2026-07-15,972,687.238683127572,8.983539094650206,winner,clear,rap_battle
Qr_QLv1TPcY,b2_beef_drake,Duppy Freestyle,Drake,b2,beef,2018-05-25,2026-07-15T01:51:00.514146+00:00,20016650,28384,209096,OVO Sound,Drake - Duppy Freestyle (Official Audio),drake,2018-05-25,2026-07-15,2973,6732.811974436596,70.33165153044064,loser,clear,rap_battle
HFrwm6oRYJg,b2_post_pusha,Diet Coke,Pusha T,b2,post,2022-02-08,2026-07-15T01:51:00.514146+00:00,24667447,18565,391634,PushaTVEVO,Pusha T - Diet Coke,pusha,2022-02-08,2026-07-15,1618,15245.640914709518,242.04820766378245,winner,clear,rap_battle
xWggTb45brM,b2_post_drake,Toosie Slide,Drake,b2,post,2020-04-03,2026-07-15T01:51:00.514146+00:00,411236137,133817,4497563,DrakeVEVO,Drake - Toosie Slide (Official Music Video),drake,2020-04-03,2026-07-15,2294,179265.97079337403,1960.5767218831736,loser,clear,rap_battle
FxQTY-W6GIo,b4_beef_eminem,Killshot,Eminem,b4,beef,2018-09-14,2026-07-15T01:51:00.514146+00:00,512886848,210040,6893046,EminemMusic,KILLSHOT [Official Audio],eminem,2018-09-14,2026-07-15,2861,179268.3844809507,2409.3135267389025,winner,clear,rap_battle
4sNCyiyIc_8,b4_beef_mgk,Rap Devil,MGK,b4,beef,2018-09-03,2026-07-15T01:51:00.514146+00:00,16884702,86602,272960,mgk,Machine Gun Kelly - Rap Devil,mgk,2018-09-03,2026-07-15,2872,5879.0745125348185,95.041782729805,loser,clear,rap_battle
RHQC4fAhcbU,b4_post_eminem,Darkness,Eminem,b4,post,2020-01-17,2026-07-15T01:51:00.514146+00:00,66169255,120700,1941351,EminemVEVO,Eminem - Darkness (Official Video),eminem,2020-01-17,2026-07-15,2371,27907.741459299872,818.7899620413327,winner,clear,rap_battle
wSdT-SArM2Q,b4_post_mgk,Bloody Valentine,MGK,b4,post,2020-05-20,2026-07-15T01:51:00.514146+00:00,149308609,72236,1369184,MGKVEVO,Machine Gun Kelly - Bloody Valentine [Official Video],mgk,2020-05-20,2026-07-15,2247,66447.97908322208,609.3386737872719,loser,clear,rap_battle
_y_Xpps46Uc,b5_beef_wayne,CoCo,Lil Wayne,b5,beef,2015-03-18,2026-07-15T01:51:00.514146+00:00,34214749,10315,271297,Lil Wayne,Lil Wayne - CoCo Freestyle #SFTW2,wayne,2015-03-18,2026-07-15,4137,8270.425187333816,65.57819676093787,winner,clear,legal
tF0X2c8HPN8,b5_post_wayne,Uproar,Lil Wayne,b5,post,2024-09-30,2026-07-15T01:51:00.514146+00:00,2837136,1703,49253,LilWayneVEVO,Lil Wayne - Uproar ft. Swizz Beatz,wayne,2024-09-30,2026-07-15,653,4344.771822358346,75.42572741194488,winner,clear,legal
XVgCLQ_JQfU,b6_beef_megan,HISS,Megan Thee Stallion,b6,beef,2024-01-26,2026-07-15T01:51:00.514146+00:00,52610925,67866,1049168,Megan Thee Stallion,Megan Thee Stallion - HISS [Official Video],megan,2024-01-26,2026-07-15,901,58391.703662597116,1164.4483906770256,winner,disputed,rap_battle
vKkoBUPav3s,b6_beef_nicki,Big Foot,Nicki Minaj,b6,beef,2024-01-29,2026-07-15T01:51:00.514146+00:00,9997412,87811,219065,Nicki Minaj,Nicki Minaj - Big Foot (Official Audio),nicki,2024-01-29,2026-07-15,898,11132.975501113586,243.9476614699332,loser,disputed,rap_battle
TKQY2ZlIEjY,b6_post_megan,BOA,Megan Thee Stallion,b6,post,2024-05-10,2026-07-15T01:51:00.514146+00:00,21085844,21105,520662,Megan Thee Stallion,Megan Thee Stallion - BOA [Official Video],megan,2024-05-10,2026-07-15,796,26489.75376884422,654.0979899497487,winner,disputed,rap_battle
rV7zBXq5JsY,b6_post_nicki,FTCU (SLEEZEMIX),Nicki Minaj,b6,post,2024-04-19,2026-07-15T01:51:00.514146+00:00,4272801,9503,117597,Nicki Minaj,"Nicki Minaj - FTCU (SLEEZEMIX) ft. Travis Scott, Chris Brown & Sexyy Red",nicki,2024-04-19,2026-07-15,817,5229.86658506732,143.937576499388,loser,disputed,rap_battle
HfWLgELllZs,b1_post_kendrick_02,luther,Kendrick Lamar,b1,post,2024-11-22,2026-07-15T01:51:00.514146+00:00,176565068,23306,1158507,Kendrick Lamar,Kendrick Lamar - luther (Official Audio),kendrick,2024-11-22,2026-07-15,600,294275.11333333334,1930.845,winner,clear,rap_battle
fuV4yQWdn_4,b1_post_kendrick_03,squabble up,Kendrick Lamar,b1,post,2024-11-25,2026-07-15T01:51:00.514146+00:00,76231780,61877,1373167,Kendrick Lamar,squabble up,kendrick,2024-11-25,2026-07-15,597,127691.42378559464,2300.112227805695,winner,clear,rap_battle
