beef_id,artist_side,win_loss,verdict,n_catalog,n_post,catalog_median_eff,post_median_eff,change_pct,p_value,significant,direction
b1,kendrick,勝者,clear,4,5,38551.36469688671,127691.42378559464,231.22413380065532,0.031746031746031744,True,up
b1,drake,敗者,clear,4,5,78081.13474513261,159512.98333333334,104.29132319094143,0.015873015873015872,True,up
b2,pusha,勝者,clear,4,4,1480.5773858049279,869.8968857284365,-41.246104792049756,0.6857142857142857,False,down
b2,drake,敗者,clear,3,5,93538.7093373494,83115.90261920753,-11.142773715801225,1.0,False,down
b4,eminem,勝者,clear,2,5,8436.412121268833,27907.741459299872,230.8010687261513,0.09523809523809523,False,up
b4,mgk,敗者,clear,4,5,16076.998102524403,55779.81305523368,246.95415586616977,0.015873015873015872,True,up
b5,wayne,勝者,clear,4,5,75846.10058851361,4344.771822358346,-94.27159499480408,0.015873015873015872,True,down
b5,birdman,敗者,clear,4,4,2015.9543720543745,6176.398958001064,206.37593011130284,0.11428571428571428,False,up
b6,megan,勝者,disputed,4,4,52151.9801542777,65068.128314077665,24.76636193216632,0.4857142857142857,False,up
b6,nicki,敗者,disputed,4,3,13598.692597536337,3585.616666666667,-73.63263680718639,0.05714285714285714,False,down
