label,target,winner_pct,loser_pct,diff_pp,chi2,p_value,cramers_v,significant,n_low_expected_cells
全5ビーフ（B6 disputed含む）,対立語彙率,10.662667030269976,20.88998763906057,-10.227320608790595,136.81306280916178,1.3248869302471724e-31,0.14118278046341814,True,0.0
全5ビーフ（B6 disputed含む）,相手名言及率,13.853286064903191,21.322620519159454,-7.469334454256263,66.34675267005676,3.7818139722739675e-16,0.09842045859446946,True,0.0
全5ビーフ（B6 disputed含む）,いいね数,1.0,2.0,,,3.695980275238182e-79,,True,
全5ビーフ（B6 disputed含む）,返信数,0.0,0.0,,,1.3517633619511998e-54,,True,
clear verdictのみ（B6除外）,対立語彙率,10.043668122270741,25.829279080053073,-15.785610957782332,216.23620716672067,5.9895522090704834e-49,0.208304713667208,True,0.0
clear verdictのみ（B6除外）,相手名言及率,14.374090247452692,26.138876603272887,-11.764786355820195,107.85203586573698,2.8961192355349382e-25,0.1472411553570966,True,0.0
clear verdictのみ（B6除外）,いいね数,1.0,1.0,,,1.0214009479577846e-60,,True,
clear verdictのみ（B6除外）,返信数,0.0,0.0,,,1.3134480352735164e-45,,True,
rap_battle型のみ（B5除外）,対立語彙率,12.67207906812566,20.88998763906057,-8.217908570934911,71.53781710021684,2.7199479828408062e-17,0.10900892790238216,True,0.0
rap_battle型のみ（B5除外）,相手名言及率,16.237204376985527,21.322620519159454,-5.085416142173926,25.106059002301016,5.426209480340924e-07,0.0647391077451266,True,0.0
rap_battle型のみ（B5除外）,いいね数,1.0,2.0,,,5.980318814715337e-46,,True,
rap_battle型のみ（B5除外）,返信数,0.0,0.0,,,7.496531354895901e-37,,True,
