Rank,Song,Artist,Category,Comments per view
1,Uproar,Lil Wayne,post,0.0002402798678284
2,FTCU (SLEEZEMIX),Nicki Minaj,post,0.0001472316930614
3,Big Foot,Nicki Minaj,beef,9.753165877643883e-05
4,Numbers on the Boards,Pusha T,catalog,8.077125549016681e-05
5,Rap Devil,MGK,beef,6.236473205108364e-05
6,Duppy Freestyle,Drake,beef,6.0353162927909794e-05
7,BOA,Megan Thee Stallion,post,4.49220358382025e-05
8,Diet Coke,Pusha T,post,3.815465903865424e-05
9,CoCo,Lil Wayne,beef,2.437723258840817e-05
10,Fire Flame,Birdman,catalog,2.2493884209972347e-05
