,A$AP Rocky,Future,J. Cole,JPEGMAFIA,Joey Bada$$,Kendrick Lamar,Mac Miller,Nas,Playboi Carti,Travis Scott,"Tyler, The Creator",Young Thug
A$AP Rocky,0.9999999,0.9018808,0.8863503,0.8331455,0.9127285,0.87095886,0.8006786,0.89897984,0.8561959,0.8288212,0.81151116,0.9079335
Future,0.9018808,0.9999999,0.8951926,0.8233769,0.9498446,0.9016009,0.83728284,0.9061061,0.8511101,0.8138099,0.84058785,0.93428004
J. Cole,0.8863503,0.8951926,1.0000001,0.8477888,0.90407175,0.8730914,0.8062612,0.8736112,0.8307719,0.80747896,0.83282125,0.9044976
JPEGMAFIA,0.8331455,0.8233769,0.8477888,1.0000002,0.8714207,0.8363286,0.7666639,0.8415233,0.82575816,0.7990239,0.8059002,0.84351224
Joey Bada$$,0.9127285,0.9498446,0.90407175,0.8714207,1.0,0.9050168,0.8427548,0.92389524,0.84772354,0.8472614,0.8338998,0.9405029
Kendrick Lamar,0.87095886,0.9016009,0.8730914,0.8363286,0.9050168,0.9999999,0.8046519,0.86322534,0.81300956,0.9233238,0.8166528,0.8972542
Mac Miller,0.8006786,0.83728284,0.8062612,0.7666639,0.8427548,0.8046519,1.0000001,0.79830676,0.74190545,0.7338853,0.7544786,0.8550794
Nas,0.89897984,0.9061061,0.8736112,0.8415233,0.92389524,0.86322534,0.79830676,1.0,0.8535206,0.8105116,0.82323146,0.90942216
Playboi Carti,0.8561959,0.8511101,0.8307719,0.82575816,0.84772354,0.81300956,0.74190545,0.8535206,0.9999999,0.7948667,0.89910805,0.83876157
Travis Scott,0.8288212,0.8138099,0.80747896,0.7990239,0.8472614,0.9233238,0.7338853,0.8105116,0.7948667,1.0,0.7626463,0.8339304
"Tyler, The Creator",0.81151116,0.84058785,0.83282125,0.8059002,0.8338998,0.8166528,0.7544786,0.82323146,0.89910805,0.7626463,1.0000001,0.8313694
Young Thug,0.9079335,0.93428004,0.9044976,0.84351224,0.9405029,0.8972542,0.8550794,0.90942216,0.83876157,0.8339304,0.8313694,1.0
