cluster_id,count,avg_likes,top_keywords
0,41,3207.317073170732,twerking|confused|starts|everybody|comments
1,46,42.58695652173913,idol|house|dol|nasıl|şarkı
2,15,1114.0,ones|dying|fake|real|lit
3,21,207.14285714285714,year|everyday|day|listening|humble
4,49,3018.0,post|malone|good|cigarette|goodbyes
5,20,49.6,people|song|know|depression|better
6,89,5756.9775280898875,carti|pierre|song|weeknd|english
7,16,4193.125,black|panther|chadwick|boseman|rip
8,24,486.9583333333333,joey|bada|music|hes|song
9,24,347.5,rocky|asap|videos|music|video
10,22,1140.4545454545455,song|makes|want|wanna|doctor
11,23,12.434782608695652,unstoppable|literally|level|dudes|deny
12,270,2926.892592592593,travis|editor|want|effects|yes
13,70,1371.5857142857142,mac|rip|miller|song|years
14,24,5330.333333333333,makes|song|want|tell|parents
15,16,2499.3125,wanna|song|makes|teacher|tell
16,123,625.8861788617886,2026|2025|whos|june|listening
17,42,4128.380952380952,best|song|beats|mixtape|album
18,19,1636.2631578947369,song|old|nostalgic|aged|gets
