artist1,artist2,similarity
Future,Joey Bada$$,0.9498446
Joey Bada$$,Young Thug,0.9405029
Future,Young Thug,0.93428004
Joey Bada$$,Nas,0.92389524
Kendrick Lamar,Travis Scott,0.9233238
A$AP Rocky,Joey Bada$$,0.9127285
Nas,Young Thug,0.90942216
A$AP Rocky,Young Thug,0.9079335
Future,Nas,0.9061061
Joey Bada$$,Kendrick Lamar,0.9050168
J. Cole,Young Thug,0.9044976
J. Cole,Joey Bada$$,0.90407175
A$AP Rocky,Future,0.9018808
Future,Kendrick Lamar,0.9016009
Playboi Carti,"Tyler, The Creator",0.89910805
A$AP Rocky,Nas,0.89897984
Kendrick Lamar,Young Thug,0.8972542
Future,J. Cole,0.8951926
A$AP Rocky,J. Cole,0.8863503
J. Cole,Nas,0.8736112
J. Cole,Kendrick Lamar,0.8730914
JPEGMAFIA,Joey Bada$$,0.8714207
A$AP Rocky,Kendrick Lamar,0.87095886
Kendrick Lamar,Nas,0.86322534
A$AP Rocky,Playboi Carti,0.8561959
Mac Miller,Young Thug,0.8550794
Nas,Playboi Carti,0.8535206
Future,Playboi Carti,0.8511101
J. Cole,JPEGMAFIA,0.8477888
Joey Bada$$,Playboi Carti,0.84772354
Joey Bada$$,Travis Scott,0.8472614
JPEGMAFIA,Young Thug,0.84351224
Joey Bada$$,Mac Miller,0.8427548
JPEGMAFIA,Nas,0.8415233
Future,"Tyler, The Creator",0.84058785
Playboi Carti,Young Thug,0.83876157
Future,Mac Miller,0.83728284
JPEGMAFIA,Kendrick Lamar,0.8363286
Travis Scott,Young Thug,0.8339304
Joey Bada$$,"Tyler, The Creator",0.8338998
A$AP Rocky,JPEGMAFIA,0.8331455
J. Cole,"Tyler, The Creator",0.83282125
"Tyler, The Creator",Young Thug,0.8313694
J. Cole,Playboi Carti,0.8307719
A$AP Rocky,Travis Scott,0.8288212
JPEGMAFIA,Playboi Carti,0.82575816
Future,JPEGMAFIA,0.8233769
Nas,"Tyler, The Creator",0.82323146
Kendrick Lamar,"Tyler, The Creator",0.8166528
Future,Travis Scott,0.8138099
Kendrick Lamar,Playboi Carti,0.81300956
A$AP Rocky,"Tyler, The Creator",0.81151116
Nas,Travis Scott,0.8105116
J. Cole,Travis Scott,0.80747896
J. Cole,Mac Miller,0.8062612
JPEGMAFIA,"Tyler, The Creator",0.8059002
Kendrick Lamar,Mac Miller,0.8046519
A$AP Rocky,Mac Miller,0.8006786
JPEGMAFIA,Travis Scott,0.7990239
Mac Miller,Nas,0.79830676
Playboi Carti,Travis Scott,0.7948667
JPEGMAFIA,Mac Miller,0.7666639
Travis Scott,"Tyler, The Creator",0.7626463
Mac Miller,"Tyler, The Creator",0.7544786
Mac Miller,Playboi Carti,0.74190545
Mac Miller,Travis Scott,0.7338853
