Topic,Count,Name,Representation,Representative_Docs
-1,6146,-1_this_the_to_is,"['this', 'the', 'to', 'is', 'and', 'of', 'he', 'in', 'that', 'on']","['great song goes in soo hard on this right here! only reason he is getting more hits is cuz he is just watching that short on my channel explaining how all these rappers out here be blowing up so big', 'for those in the comments that think won this rap battle. if you have a small brain i can see why you would say this. em went back and slapped with everything said about him, then kept destroying him with more lyricism then you can catch in one listen. he didn’t have a corny ass chorus, it’s just a 5 min diss. word play and lyrical gymnastics that confuse simple minded clowns like you that obviously cant understand what em put down in these lyrics', ""i love abel as a person. just want to share this important message.when i was probably 9 years old i remember coming home from soccer practice and hearing the hills on the radio, i could feel the thick , and fear it was so intense. a year later i heard starboy on the bus ride to school and i could feel the dark, self glorification, pride, fear, and emptiness. it was so dark. i have listened to most major hits since 1980-2026 and to this day starboy is the darkest song i have ever listened to. music is very spiritual. there's a reason he has some of the most played/streamed songs ever. i hope and pray that this helped someone. if you feel or have ever felt lonely, depressed, angry, prideful, fearful/scared, or anxious all of those things are from demonic spirits that hate you and want you to go to hell with them. jesus christ is the only way to heaven and he will deliver you from all of those things and he walked this earth without sinning and died on the cross, and rose again 3 days later defeating death, sin, and the grave and assented to heaven. so if you accept and confess jesus christ as your lord and savior and give your to him and repent of your sins you will be saved from hell forever. god bless you all.""]"
0,763,0_here_this_is_shit,"['here', 'this', 'is', 'shit', 'you', 'who', 'so', 'miss', 'thank', 'to']","['who is here in 2026😮', ""who's here ? 😂🔥"", 'this shit is hard🔥']"
1,660,1_song_this_album_love,"['song', 'this', 'album', 'love', 'best', 'my', 'the', 'is', 'it', 'so']","['i love this song ❤️🔥', 'love this song ❤...🐐', 'this my song 🥳🥳']"
2,553,2_2026_here_2025_who,"['2026', 'here', '2025', 'who', 'anyone', 'in', '2024', 'june', 'july', 'is']","[""who's here in 2026? :)"", ""who's here in 2026?"", 'who here in 2026']"
3,421,3_rap_hip_hop_rapper,"['rap', 'hip', 'hop', 'rapper', 'of', 'is', 'the', 'rappers', 'best', 'and']","['is hip hop ✌️', 'this is real hip hop.', 'now this is hip hop. this is rap']"
4,294,4_beat_beats_this_remix,"['beat', 'beats', 'this', 'remix', 'the', 'is', 'on', 'bass', 'that', 'of']","['this beat is shit!!', 'this beat is…… 🔥🔥🔥🔥🔥', 'this beat is 🔥']"
5,272,5_video_music_this_videos,"['video', 'music', 'this', 'videos', 'the', 'is', 'song', 'for', 'and', 'of']","['i love this music video so much', 'what music video was it?', 'love this song and video']"
6,242,6_she_her_girl_is,"['she', 'her', 'girl', 'is', 'not', 'that', 'the', 'rihanna', 'meg', 'to']","['i don’t understand why she switched up from then and now. i feel like she needs a new team because this new stuff she tryna do is definitely not it. i mess with her but if she brings back stuff like this. i’ll mess with her even stronger. this remind me of that before fame saweetie.', 'she says why should she join them, when she know that she could beat them now !!! 💯💯💯', ""i feel so bad for not listening to # like that 😪 😔 because she is one of the best female hip-hop artists of all times, no joke. i'm for real 💯 after listening to her music's she as put out to the world i'll be listening to her music's for now on and all the new work she'll bring ✨️""]"
7,230,7_at_is_part_the,"['at', 'is', 'part', 'the', '45', 'that', '54', 'me', '24', '50']","['1:06 so this is where the meme is from why is no one talking about it?', 'at 1:54 he was going crazy in that cage, even he’s like damn this shit fire, i made this?😂🔥', 'the popular part is at 3:07']"
8,215,8_joey_coast_the_of,"['joey', 'coast', 'the', 'of', 'is', 'and', 'he', 'west', 'ab', 'with']","['joey the goat 🤞🏽😭', 'thank you joey! 🏎💨', 'now, that’s a video, joey!']"
