cluster,n,top_words
-1,63012,"song, like, love, just, music, video, best, shit, time, good, album, man, know, years, bro"
0,402,"2025, whos"
1,640,"2026, respect"
2,865,"2026, june, july, march, april, whos, january, february, 1st, watching, bumping, feb, summer, anybody, gather"
3,461,"beat, killed, switch, type, sample, lyrics, reminds, mustard, sick, insane, ahh, heavenly, harder, nice, ass"
4,634,"love, vibe, girl, reference, melody, respect, africa, 90s, showing, style, live, freddie, south, russia, wtf"
5,500,"got, finally, fix, members, rooms, gang, salt, ya, ts, flooded, grammy, head, simpson, ross, drugs"
6,865,"like, looks, sounds, look, wine, aged, fine, sound, feels, comment, looking, painted, does, mona, kanye"
7,23068,"brought, boy, king, black, thought, wait, white, sample, yo, reminds, verse, getting, girl, bad, let"
8,1835,"song, theme, fav, gta, called, intro, perfect, sampled, reminds, fortnite, legendary, forgot, lit, whats, gives"
