artist,genre,video_id,video_title,channel_title,text,likes
"Tyler, The Creator",Alternative,TGgcC5xg9YI,SEE YOU AGAIN featuring Kali Uchis,"Tyler, The Creator","When she said ""I'm about to go to war"" I felt that because my country is going thru a war",0
"Tyler, The Creator",Alternative,TGgcC5xg9YI,SEE YOU AGAIN featuring Kali Uchis,"Tyler, The Creator",×1.25 is also good,0
"Tyler, The Creator",Alternative,TGgcC5xg9YI,SEE YOU AGAIN featuring Kali Uchis,"Tyler, The Creator","When he said ""I don't wanna wake up"" I felt that because I go to school",1
"Tyler, The Creator",Alternative,TGgcC5xg9YI,SEE YOU AGAIN featuring Kali Uchis,"Tyler, The Creator",Rip XXXTentacion wait wrong guy,0
"Tyler, The Creator",Alternative,TGgcC5xg9YI,SEE YOU AGAIN featuring Kali Uchis,"Tyler, The Creator",everyone in 2026?,0
"Tyler, The Creator",Alternative,TGgcC5xg9YI,SEE YOU AGAIN featuring Kali Uchis,"Tyler, The Creator",F15 on aircraft carrier?,0
"Tyler, The Creator",Alternative,TGgcC5xg9YI,SEE YOU AGAIN featuring Kali Uchis,"Tyler, The Creator",When he said hit me wjth precision i felt that because i havw a father,0
"Tyler, The Creator",Alternative,TGgcC5xg9YI,SEE YOU AGAIN featuring Kali Uchis,"Tyler, The Creator",I love u Tyler❤,1
"Tyler, The Creator",Alternative,TGgcC5xg9YI,SEE YOU AGAIN featuring Kali Uchis,"Tyler, The Creator",the start of the end reminds me of this one game i had on the 3ds but i cant remember,0
"Tyler, The Creator",Alternative,TGgcC5xg9YI,SEE YOU AGAIN featuring Kali Uchis,"Tyler, The Creator",Why is no one talking about A$AP?! I’ve seen this video like 4 time and never noticed it was him!!😂,0
"Tyler, The Creator",Alternative,TGgcC5xg9YI,SEE YOU AGAIN featuring Kali Uchis,"Tyler, The Creator",It's the trumpet for me 🥹😩,0
"Tyler, The Creator",Alternative,TGgcC5xg9YI,SEE YOU AGAIN featuring Kali Uchis,"Tyler, The Creator",W comments,0
"Tyler, The Creator",Alternative,TGgcC5xg9YI,SEE YOU AGAIN featuring Kali Uchis,"Tyler, The Creator",The transition from sometimes to this is heavenly,0
"Tyler, The Creator",Alternative,TGgcC5xg9YI,SEE YOU AGAIN featuring Kali Uchis,"Tyler, The Creator",This was my like first tyler the creator song i listened to,0
