artist,🎤 リリック重視,🎨 芸術性,🎪 ライブ体験,🎵 Vibe/音楽性,📌 その他,genre
Kendrick Lamar,0.0,0.0,0.1,1.5,95.9,Boom bap / Lyric
J. Cole,0.0,0.1,0.2,4.4,94.8,Boom bap / Lyric
Joey Bada$$,9.9,14.9,0.0,0.8,73.0,Boom bap / Lyric
Future,0.0,0.0,0.0,6.4,92.2,Trap
Playboi Carti,0.0,0.0,0.1,2.3,94.3,Trap
Young Thug,0.0,0.0,1.4,5.1,92.2,Trap
Travis Scott,0.1,0.0,19.3,1.6,78.5,Trap
"Tyler, The Creator",0.0,0.0,0.5,1.7,97.6,Alternative
JPEGMAFIA,4.9,0.1,0.0,4.8,88.9,Alternative
A$AP Rocky,0.0,0.0,0.7,3.7,94.3,Alternative
Mac Miller,0.0,0.2,0.0,2.4,97.4,Alternative
