,🎤 リリック重視,🎨 芸術性,🎪 ライブ体験,🎵 Vibe/音楽性,genre
Kendrick Lamar,0.0,0.0,6.25,93.75,Boom bap / Lyric
J. Cole,0.0,2.127659574468085,4.25531914893617,93.61702127659575,Boom bap / Lyric
Joey Bada$$,38.671875,58.203125,0.0,3.125,Boom bap / Lyric
Future,0.0,0.0,0.0,100.0,Trap
Playboi Carti,0.0,0.0,4.166666666666667,95.83333333333333,Trap
Young Thug,0.0,0.0,21.538461538461537,78.46153846153847,Trap
Travis Scott,0.47619047619047616,0.0,91.90476190476188,7.619047619047619,Trap
"Tyler, The Creator",0.0,0.0,22.727272727272727,77.27272727272727,Alternative
JPEGMAFIA,50.0,1.0204081632653061,0.0,48.979591836734684,Alternative
A$AP Rocky,0.0,0.0,15.909090909090907,84.09090909090908,Alternative
Mac Miller,0.0,7.6923076923076925,0.0,92.3076923076923,Alternative
