,Kendrick Lamar,J. Cole,Joey Bada$$,Future,Playboi Carti,Young Thug,Travis Scott,"Tyler, The Creator",JPEGMAFIA,A$AP Rocky,Mac Miller
Kendrick Lamar,1.0,0.9995188804914866,0.044576363102252006,0.9977851578566089,0.9997328078506796,0.9797990294216609,0.14872476868738144,0.9760100831025235,0.6981557439300449,0.9927593375350042,0.9943385667017013
J. Cole,0.9995188804914866,0.9999999999999997,0.06350421677555389,0.9987111735848224,0.9997404229894828,0.9751003810658593,0.12775071974004365,0.970938257815568,0.6991345551662691,0.9897426143920384,0.997146348489667
Joey Bada$$,0.044576363102252006,0.06350421677555389,1.0,0.04467531186574139,0.0446331454459018,0.043081571398486326,0.006545654654785214,0.04285995297592992,0.4382850890088361,0.043896632156514646,0.11362128303987054
Future,0.9977851578566089,0.9987111735848224,0.04467531186574139,1.0,0.9990561583550596,0.9643261479171183,0.08261703562059529,0.9593655015712705,0.6997054811175858,0.9825702456970677,0.9965457582448797
Playboi Carti,0.9997328078506796,0.9997404229894828,0.0446331454459018,0.9990561583550596,1.0,0.9749145476467849,0.12582720560442123,0.9707165343566104,0.6990450699453139,0.9897174730586668,0.9956051768571594
Young Thug,0.9797990294216609,0.9751003810658593,0.043081571398486326,0.9643261479171183,0.9749145476467849,1.0000000000000002,0.3434782387402109,0.9998354562221283,0.6747442912826155,0.9967268614100129,0.9609951322714287
Travis Scott,0.14872476868738144,0.12775071974004365,0.006545654654785214,0.08261703562059529,0.12582720560442123,0.3434782387402109,1.0,0.36045786077570074,0.06149583750144528,0.2664307274335124,0.08233165640647036
"Tyler, The Creator",0.9760100831025235,0.970938257815568,0.04285995297592992,0.9593655015712705,0.9707165343566104,0.9998354562221283,0.36045786077570074,1.0,0.6712732998445399,0.995096365241977,0.9560516211973211
JPEGMAFIA,0.6981557439300449,0.6991345551662691,0.4382850890088361,0.6997054811175858,0.6990450699453139,0.6747442912826155,0.06149583750144528,0.6712732998445399,1.0,0.6875097864972912,0.6984990995916667
A$AP Rocky,0.9927593375350042,0.9897426143920384,0.043896632156514646,0.9825702456970677,0.9897174730586668,0.9967268614100129,0.2664307274335124,0.995096365241977,0.6875097864972912,1.0,0.9791762105270421
Mac Miller,0.9943385667017013,0.997146348489667,0.11362128303987054,0.9965457582448797,0.9956051768571594,0.9609951322714287,0.08233165640647036,0.9560516211973211,0.6984990995916667,0.9791762105270421,1.0
