,Kendrick Lamar,J. Cole,Joey Bada$$,Future,Playboi Carti,Young Thug,Travis Scott,"Tyler, The Creator",JPEGMAFIA,A$AP Rocky,Mac Miller
Kendrick Lamar,0.9999999999999999,0.9995264367821264,0.9712539228131334,0.9985599368392122,0.9999617591963773,0.9991157430972327,0.9713292914517268,0.9999901013174636,0.9977553950048674,0.9997017806298367,0.9999568890343992
J. Cole,0.9995264367821264,0.9999999999999998,0.9708620209453688,0.9997345060000083,0.9997570211951234,0.9998748561864106,0.9712639701202043,0.9995754815770286,0.9984580885647939,0.9999596881601336,0.9997608781739006
Joey Bada$$,0.9712539228131334,0.9708620209453688,1.0,0.9696124203225698,0.9711769986480531,0.9702007117960539,0.9433086611585171,0.971232101025374,0.9763615457699825,0.9708506314789037,0.9715791283042315
Future,0.9985599368392122,0.9997345060000083,0.9696124203225698,1.0000000000000002,0.9989908064894053,0.9997864716820911,0.9699299063532031,0.9986410774632462,0.9983703976760931,0.9995199313479299,0.9990004692205894
Playboi Carti,0.9999617591963773,0.9997570211951234,0.9711769986480531,0.9989908064894053,0.9999999999999998,0.9994241254605869,0.9713365656390035,0.9999674660833827,0.9980515851751969,0.9998698199309743,0.9999972998326694
Young Thug,0.9991157430972327,0.9998748561864106,0.9702007117960539,0.9997864716820911,0.9994241254605869,1.0000000000000002,0.9740083101872415,0.9992337910636739,0.9983726129058309,0.9998413753800299,0.9994142032893482
Travis Scott,0.9713292914517268,0.9712639701202043,0.9433086611585171,0.9699299063532031,0.9713365656390035,0.9740083101872415,1.0000000000000002,0.9722975077345319,0.9691457060026271,0.9726633658786769,0.9710810053117751
"Tyler, The Creator",0.9999901013174636,0.9995754815770286,0.971232101025374,0.9986410774632462,0.9999674660833827,0.9992337910636739,0.9722975077345319,1.0000000000000002,0.9978091863693387,0.9997597632266005,0.999958715677271
JPEGMAFIA,0.9977553950048674,0.9984580885647939,0.9763615457699825,0.9983703976760931,0.9980515851751969,0.9983726129058309,0.9691457060026271,0.9978091863693387,1.0,0.9983525136750431,0.9980596985345326
A$AP Rocky,0.9997017806298367,0.9999596881601336,0.9708506314789037,0.9995199313479299,0.9998698199309743,0.9998413753800299,0.9726633658786769,0.9997597632266005,0.9983525136750431,1.0,0.9998640920443341
Mac Miller,0.9999568890343992,0.9997608781739006,0.9715791283042315,0.9990004692205894,0.9999972998326694,0.9994142032893482,0.9710810053117751,0.999958715677271,0.9980596985345326,0.9998640920443341,1.0000000000000002
