artist,video_title,n_total,topic,count,pct
Nas,Nas - &quot;Wave Gods&quot; feat. A$AP Rocky and DJ Premier (Official Video),300,⚔️ ビーフ,5,1.7
Nas,Nas - &quot;Wave Gods&quot; feat. A$AP Rocky and DJ Premier (Official Video),300,🕯️ 追悼,1,0.3
Nas,Nas - Nobody feat. Ms. Lauryn Hill (Official Audio),308,⚔️ ビーフ,1,0.3
Nas,Nas - Nobody feat. Ms. Lauryn Hill (Official Audio),308,🎪 ライブ,1,0.3
Nas,Nas - Nobody feat. Ms. Lauryn Hill (Official Audio),308,🔥 炎上,1,0.3
Nas,Nas - EPMD 2 feat. Eminem &amp; EPMD (Official Audio),366,⚔️ ビーフ,6,1.6
Nas,Nas - EPMD 2 feat. Eminem &amp; EPMD (Official Audio),366,🕯️ 追悼,3,0.8
Nas,Nas - EPMD 2 feat. Eminem &amp; EPMD (Official Audio),366,🔥 炎上,1,0.3
Nas,Nas - Death Row East (Official Audio),411,⚔️ ビーフ,17,4.1
Nas,Nas - Death Row East (Official Audio),411,🎪 ライブ,1,0.2
Nas,Nas - Death Row East (Official Audio),411,🕯️ 追悼,15,3.6
Nas,Nas - Death Row East (Official Audio),411,🔥 炎上,1,0.2
Nas,Nas - Rare (Official Video),331,⚔️ ビーフ,3,0.9
Nas,Nas - Rare (Official Video),331,🎪 ライブ,1,0.3
Nas,Nas - Sitting With My Thoughts (Official Video),326,⚔️ ビーフ,3,0.9
Nas,Nas - Sitting With My Thoughts (Official Video),326,🎪 ライブ,1,0.3
Nas,Nas - Sitting With My Thoughts (Official Video),326,🕯️ 追悼,3,0.9
Kendrick Lamar,Not Like Us,357,⚔️ ビーフ,87,24.4
Kendrick Lamar,Not Like Us,357,🕯️ 追悼,2,0.6
Kendrick Lamar,Not Like Us,357,🔥 炎上,4,1.1
Kendrick Lamar,Kendrick Lamar - luther (Official Audio),292,⚔️ ビーフ,36,12.3
Kendrick Lamar,Kendrick Lamar - luther (Official Audio),292,🎪 ライブ,2,0.7
Kendrick Lamar,Kendrick Lamar - luther (Official Audio),292,🔥 炎上,1,0.3
Kendrick Lamar,Kendrick Lamar - tv off (Official Audio),272,⚔️ ビーフ,68,25.0
Kendrick Lamar,euphoria,402,⚔️ ビーフ,122,30.3
Kendrick Lamar,euphoria,402,🔥 炎上,1,0.2
Kendrick Lamar,squabble up,330,⚔️ ビーフ,65,19.7
Kendrick Lamar,Kendrick Lamar - peekaboo (Official Audio),322,⚔️ ビーフ,38,11.8
Kendrick Lamar,Kendrick Lamar - peekaboo (Official Audio),322,🕯️ 追悼,4,1.2
Kendrick Lamar,Kendrick Lamar - peekaboo (Official Audio),322,🔥 炎上,1,0.3
J. Cole,J. Cole – Work Out (Official Music Video),312,⚔️ ビーフ,49,15.7
J. Cole,J. Cole – Work Out (Official Music Video),312,🕯️ 追悼,1,0.3
J. Cole,J. Cole – Work Out (Official Music Video),312,🔥 炎上,1,0.3
J. Cole,J. Cole - MIDDLE CHILD (Official Audio),291,⚔️ ビーフ,55,18.9
J. Cole,J. Cole - MIDDLE CHILD (Official Audio),291,🕯️ 追悼,1,0.3
J. Cole,J. Cole - MIDDLE CHILD (Official Audio),291,🔥 炎上,1,0.3
J. Cole,J. Cole - Kevin&#39;s Heart,384,⚔️ ビーフ,44,11.5
J. Cole,J. Cole - Kevin&#39;s Heart,384,🕯️ 追悼,1,0.3
J. Cole,J. Cole - Kevin&#39;s Heart,384,🔥 炎上,8,2.1
J. Cole,"J. Cole - m y . l i f e  feat. 21 Savage, Morray (Official Audio)",318,⚔️ ビーフ,55,17.3
J. Cole,"J. Cole - m y . l i f e  feat. 21 Savage, Morray (Official Audio)",318,🕯️ 追悼,2,0.6
J. Cole,"J. Cole - m y . l i f e  feat. 21 Savage, Morray (Official Audio)",318,🔥 炎上,1,0.3
J. Cole,J. Cole - p r i d e . i s . t h e . d e v i l  feat. Lil&#39; Baby (Official Audio),375,⚔️ ビーフ,78,20.8
J. Cole,J. Cole - p r i d e . i s . t h e . d e v i l  feat. Lil&#39; Baby (Official Audio),375,🕯️ 追悼,1,0.3
J. Cole,J. Cole - a m a r i (Official Music Video),280,⚔️ ビーフ,68,24.3
J. Cole,J. Cole - a m a r i (Official Music Video),280,🎪 ライブ,2,0.7
J. Cole,J. Cole - a m a r i (Official Music Video),280,🔥 炎上,2,0.7
Joey Bada$$,Joey Bada$$ - Where I Belong (Official Video),343,⚔️ ビーフ,4,1.2
Joey Bada$$,Joey Bada$$ - Where I Belong (Official Video),343,🎪 ライブ,1,0.3
Joey Bada$$,Joey Bada$$ - Where I Belong (Official Video),343,🕯️ 追悼,4,1.2
