artist,dominant_topic,count,pct_of_total,confidence,max_video_share,n_videos_with_mentions,confound_check,previously_validated
Kendrick Lamar,⚔️ ビーフ,416,21.06,◎ 信頼できる,0.293,6,✅ 複数動画に分散,v3/v4/v5の3回の独立収集で11.8〜30.3%の範囲で再現済み。ディス曲を除いても約17%残る
J. Cole,⚔️ ビーフ,349,17.81,◎ 信頼できる,0.223,6,✅ 複数動画に分散,v3/v4の2回の独立収集で13.3〜17.8%の範囲で再現済み。ディス曲は1本もない
Joey Bada$$,⚔️ ビーフ,174,7.79,◎ 信頼できる,0.362,6,✅ 複数動画に分散,（今回が初検出・他データセットでは未確認）
Mac Miller,🕯️ 追悼,131,8.48,◎ 信頼できる,0.267,5,✅ 複数動画に分散,v3/v4/v5の3回の独立収集で8.3〜10.2%の範囲で再現済み（最も信頼できる発見）
"Tyler, The Creator",⚔️ ビーフ,37,1.83,▲ 要注意（少数）,0.865,5,⚠ 単一動画に集中,（今回が初検出・他データセットでは未確認）
Nas,⚔️ ビーフ,35,1.71,▲ 要注意（少数）,0.486,6,✅ 複数動画に分散,（今回が初検出・他データセットでは未確認）
JPEGMAFIA,⚔️ ビーフ,26,1.55,▲ 要注意（少数）,0.423,5,✅ 複数動画に分散,（今回が初検出・他データセットでは未確認）
Travis Scott,🎪 ライブ,26,1.67,▲ 要注意（少数）,0.731,4,⚠ 単一動画に集中,v3/v4では20%前後だったが、MV限定で収集した結果0.7〜1.3%に低下。元の発見は『収集した動画がそもそもライブ/イベント映像だった』という交絡だったと判明（撤回・教訓として記録）
A$AP Rocky,⚔️ ビーフ,20,1.11,▲ 要注意（少数）,0.5,6,△ 中間,（今回が初検出・他データセットでは未確認）
Young Thug,🕯️ 追悼,17,1.26,▲ 要注意（少数）,0.588,6,△ 中間,（今回が初検出・他データセットでは未確認）
Playboi Carti,🕯️ 追悼,8,0.46,✗ 不十分,0.875,2,⚠ 単一動画に集中,（今回が初検出・他データセットでは未確認）
Future,🕯️ 追悼,5,0.45,✗ 不十分,0.6,2,△ 中間,（今回が初検出・他データセットでは未確認）
